NHGISNAM,ICPSRST,ICPSRCTY,GISJOIN,region
Holmes,43,590,G1200590,2
Jackson,43,630,G1200630,2
Jefferson,43,650,G1200650,2
Lafayette,43,670,G1200670,2
Leon,43,730,G1200730,2
Liberty,43,770,G1200770,2
Madison,43,790,G1200790,2
Nassau,43,890,G1200890,2
Putnam,43,1070,G1201070,2
St Johns,43,1090,G1201090,2
Santa Rosa,43,1130,G1201130,2
Suwannee,43,1210,G1201210,2
Taylor,43,1230,G1201230,2
Wakulla,43,1290,G1201290,2
Walton,43,1310,G1201310,2
Washington,43,1330,G1201330,2
Appling,44,10,G1300010,2
Baker,44,70,G1300070,2
Berrien,44,190,G1300190,2
Brooks,44,270,G1300270,2
Bryan,44,290,G1300290,2
Bulloch,44,310,G1300310,2
Burke,44,330,G1300330,2
Calhoun,44,370,G1300370,2
Camden,44,390,G1300390,2
Charlton,44,490,G1300490,2
Chatham,44,510,G1300510,2
Chattahoochee,44,530,G1300530,2
Clay,44,610,G1300610,2
Clinch,44,650,G1300650,2
Coffee,44,690,G1300690,2
Colquitt,44,710,G1300710,2
Decatur,44,870,G1300870,2
Dodge,44,910,G1300910,2
Dooly,44,930,G1300930,2
Dougherty,44,950,G1300950,2
Early,44,990,G1300990,2
Echols,44,1010,G1301010,2
Effingham,44,1030,G1301030,2
Emanuel,44,1070,G1301070,2
Glynn,44,1270,G1301270,2
Houston,44,1530,G1301530,2
Irwin,44,1550,G1301550,2
Jefferson,44,1630,G1301630,2
Johnson,44,1670,G1301670,2
Laurens,44,1750,G1301750,2
Lee,44,1770,G1301770,2
Liberty,44,1790,G1301790,2
Lowndes,44,1850,G1301850,2
Mcintosh,44,1910,G1301910,2
Macon,44,1930,G1301930,2
Marion,44,1970,G1301970,2
Miller,44,2010,G1302010,2
Mitchell,44,2050,G1302050,2
Montgomery,44,2090,G1302090,2
Pierce,44,2290,G1302290,2
Pulaski,44,2350,G1302350,2
Quitman,44,2390,G1302390,2
Randolph,44,2430,G1302430,2
Richmond,44,2450,G1302450,2
Schley,44,2490,G1302490,2
Screven,44,2510,G1302510,2
Stewart,44,2590,G1302590,2
Sumter,44,2610,G1302610,2
Tattnall,44,2670,G1302670,2
Telfair,44,2710,G1302710,2
Terrell,44,2730,G1302730,2
Thomas,44,2750,G1302750,2
Twiggs,44,2890,G1302890,2
Ware,44,2990,G1302990,2
Washington,44,3030,G1303030,2
Wayne,44,3050,G1303050,2
Webster,44,3070,G1303070,2
Wilcox,44,3150,G1303150,2
Wilkinson,44,3190,G1303190,2
Worth,44,3210,G1303210,2
East Baton Rouge,45,330,G2200330,2
East Feliciana,45,370,G2200370,2
Livingston,45,630,G2200630,2
St Helena,45,910,G2200910,2
St Tammany,45,1030,G2201030,2
Tangipahoa,45,1050,G2201050,2
Washington,45,1170,G2201170,2
West Feliciana,45,1250,G2201250,2
Adams,46,10,G2800010,2
Amite,46,50,G2800050,2
Attala,46,70,G2800070,2
Carroll,46,150,G2800150,2
Choctaw,46,190,G2800190,2
Claiborne,46,210,G2800210,2
Clarke,46,230,G2800230,2
Clay,46,250,G2800250,2
Copiah,46,290,G2800290,2
Covington,46,310,G2800310,2
Franklin,46,370,G2800370,2
Greene,46,410,G2800410,2
Hancock,46,450,G2800450,2
Harrison,46,470,G2800470,2
Hinds,46,490,G2800490,2
Holmes,46,510,G2800510,2
Jackson,46,590,G2800590,2
Jasper,46,610,G2800610,2
Jefferson,46,630,G2800630,2
Jones,46,670,G2800670,2
Kemper,46,690,G2800690,2
Lauderdale,46,750,G2800750,2
Lawrence,46,770,G2800770,2
Leake,46,790,G2800790,2
Lincoln,46,850,G2800850,2
Lowndes,46,870,G2800870,2
Madison,46,890,G2800890,2
Marion,46,910,G2800910,2
Montgomery,46,970,G2800970,2
Neshoba,46,990,G2800990,2
Newton,46,1010,G2801010,2
Noxubee,46,1030,G2801030,2
Oktibbeha,46,1050,G2801050,2
Pearl River,46,1090,G2801090,2
Perry,46,1110,G2801110,2
Pike,46,1130,G2801130,2
Rankin,46,1210,G2801210,2
Scott,46,1230,G2801230,2
Simpson,46,1270,G2801270,2
Smith,46,1290,G2801290,2
Wayne,46,1530,G2801530,2
Webster,46,1550,G2801550,2
Wilkinson,46,1570,G2801570,2
Winston,46,1590,G2801590,2
Yazoo,46,1630,G2801630,2
Beaufort,47,130,G3700130,2
Bertie,47,150,G3700150,2
Bladen,47,170,G3700170,2
Brunswick,47,190,G3700190,2
Camden,47,290,G3700290,2
Carteret,47,310,G3700310,2
Chowan,47,410,G3700410,2
Columbus,47,470,G3700470,2
Craven,47,490,G3700490,2
Cumberland,47,510,G3700510,2
Currituck,47,530,G3700530,2
Dare,47,550,G3700550,2
