NHGISNAM,ICPSRST,ICPSRCTY,GISJOIN,region
White,42,1450,G0501450,6
Woodruff,42,1470,G0501470,6
Yell,42,1490,G0501490,6
Bienville,45,130,G2200130,6
Caldwell,45,210,G2200210,6
Claiborne,45,270,G2200270,6
De Soto,45,310,G2200310,6
Grant,45,430,G2200430,6
Jackson,45,490,G2200490,6
Lincoln,45,610,G2200610,6
Sabine,45,850,G2200850,6
Union,45,1110,G2201110,6
Vernon,45,1150,G2201150,6
Webster,45,1190,G2201190,6
Winn,45,1270,G2201270,6
Anderson,49,10,G4800010,6
Angelina,49,50,G4800050,6
Austin,49,150,G4800150,6
Bastrop,49,210,G4800210,6
Bowie,49,370,G4800370,6
Brazos,49,410,G4800410,6
Burleson,49,510,G4800510,6
Camp,49,630,G4800630,6
Cass,49,670,G4800670,6
Cherokee,49,730,G4800730,6
Colorado,49,890,G4800890,6
Franklin,49,1590,G4801590,6
Freestone,49,1610,G4801610,6
Gregg,49,1830,G4801830,6
Grimes,49,1850,G4801850,6
Hardin,49,1990,G4801990,6
Harrison,49,2030,G4802030,6
Henderson,49,2130,G4802130,6
Hopkins,49,2230,G4802230,6
Houston,49,2250,G4802250,6
Jasper,49,2410,G4802410,6
Lavaca,49,2850,G4802850,6
Lee,49,2870,G4802870,6
Leon,49,2890,G4802890,6
Liberty,49,2910,G4802910,6
Madison,49,3130,G4803130,6
Marion,49,3150,G4803150,6
Montgomery,49,3390,G4803390,6
Morris,49,3430,G4803430,6
Nacogdoches,49,3470,G4803470,6
Newton,49,3510,G4803510,6
Panola,49,3650,G4803650,6
Polk,49,3730,G4803730,6
Rains,49,3790,G4803790,6
Red River,49,3870,G4803870,6
Robertson,49,3950,G4803950,6
Rusk,49,4010,G4804010,6
Sabine,49,4030,G4804030,6
San Augustine,49,4050,G4804050,6
San Jacinto,49,4070,G4804070,6
Shelby,49,4190,G4804190,6
Smith,49,4230,G4804230,6
Titus,49,4490,G4804490,6
Trinity,49,4550,G4804550,6
Tyler,49,4570,G4804570,6
Upshur,49,4590,G4804590,6
Van Zandt,49,4670,G4804670,6
Walker,49,4710,G4804710,6
Waller,49,4730,G4804730,6
Wood,49,4990,G4804990,6
Lincoln,,,G4050275,6
Creek Nation,,,G1789075,6
Seminole Nation,,,G1789095,6
Cherokee Nation,,,G1789015,6
Choctaw Nation,,,G1789055,6
Cleveland,,,G4050075,6
Pottowatomie,,,G4050395,6
Pawnee,,,G4050355,6
Chickasaw Nation,,,G1789035,6
Osage Indian Reservation,,,G4059055,6
Acadia,45,10,G2200010,7
Calcasieu,45,190,G2200190,7
Cameron,45,230,G2200230,7
Iberia,45,450,G2200450,7
Lafayette,45,550,G2200550,7
Vermillion,45,1130,G2201130,7
Aransas,49,70,G4800070,7
Bee,49,250,G4800250,7
Bell,49,270,G4800270,7
Bexar,49,290,G4800290,7
Bosque,49,350,G4800350,7
Brazoria,49,390,G4800390,7
Burnet,49,530,G4800530,7
Caldwell,49,550,G4800550,7
Calhoun,49,570,G4800570,7
Chambers,49,710,G4800710,7
Collin,49,850,G4800850,7
Cooke,49,970,G4800970,7
Coryell,49,990,G4800990,7
Dallas,49,1130,G4801130,7
Delta,49,1190,G4801190,7
Denton,49,1210,G4801210,7
De Witt,49,1230,G4801230,7
Ellis,49,1390,G4801390,7
Falls,49,1450,G4801450,7
Fannin,49,1470,G4801470,7
Fayette,49,1490,G4801490,7
Fort Bend,49,1570,G4801570,7
Galveston,49,1670,G4801670,7
Goliad,49,1750,G4801750,7
Gonzales,49,1770,G4801770,7
Grayson,49,1810,G4801810,7
Guadalupe,49,1870,G4801870,7
Hamilton,49,1930,G4801930,7
Harris,49,2010,G4802010,7
Hill,49,2170,G4802170,7
Hood,49,2210,G4802210,7
Hunt,49,2310,G4802310,7
Jackson,49,2390,G4802390,7
Jefferson,49,2450,G4802450,7
Johnson,49,2510,G4802510,7
Karnes,49,2550,G4802550,7
Kaufman,49,2570,G4802570,7
Lamar,49,2770,G4802770,7
Lampasas,49,2810,G4802810,7
Limestone,49,2930,G4802930,7
Mclennan,49,3090,G4803090,7
Matagorda,49,3210,G4803210,7
Medina,49,3250,G4803250,7
Milam,49,3310,G4803310,7
Mills,49,3330,G4803330,7
Navarro,49,3490,G4803490,7
Nueces,49,3550,G4803550,7
Orange,49,3610,G4803610,7
Refugio,49,3910,G4803910,7
Rockwall,49,3970,G4803970,7
San Patricio,49,4090,G4804090,7
Somervell,49,4250,G4804250,7
Tarrant,49,4390,G4804390,7
Travis,49,4530,G4804530,7
Victoria,49,4690,G4804690,7
Washington,49,4770,G4804770,7
Wharton,49,4810,G4804810,7
Williamson,49,4910,G4804910,7
Wilson,49,4930,G4804930,7
